Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island,Special Status,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
03/01/2020,DKI Jakarta,2,0,0,2,39,20,41,-22,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,3.6,0,1.84,0.5128,1.0513,,
03/02/2020,DKI Jakarta,2,0,0,2,41,20,41,-20,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,3.78,0,1.84,0.4878,1,1,1
03/02/2020,Indonesia,2,0,0,2,2,0,0,2,,,,98,7230,8488,74953,1916907,265185520,138.34,0.01,0.01,0,0,0,0,,
03/02/2020,Riau,1,0,0,1,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0.16,0.33,0,0,0,1.5,,
03/03/2020,DKI Jakarta,2,0,0,2,43,20,41,-18,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,3.96,0,1.84,0.4651,0.9535,1,1
03/03/2020,Indonesia,0,0,0,0,2,0,0,2,,,,98,7230,8488,74953,1916907,265185520,138.34,0,0.01,0,0,0,0,0,1
03/03/2020,Jawa Barat,1,1,0,0,1,1,8,-8,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.02,0.02,0.02,0.02,1,8,,
03/03/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,0,1
03/04/2020,DKI Jakarta,2,0,0,2,45,20,41,-16,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,4.15,0,1.84,0.4444,0.9111,1,1
03/04/2020,Indonesia,0,0,0,0,2,0,0,2,,,,98,7230,8488,74953,1916907,265185520,138.34,0,0.01,0,0,0,0,1,1
03/04/2020,Jawa Barat,1,0,0,1,2,1,8,-7,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.02,0.04,0,0.02,0.5,4,1,0
03/04/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/05/2020,DKI Jakarta,0,1,0,-1,45,21,41,-17,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0,4.15,0.09,1.94,0.4667,0.9111,0,
03/05/2020,Indonesia,0,0,0,0,2,0,0,2,,,,98,7230,8488,74953,1916907,265185520,138.34,0,0.01,0,0,0,0,1,1
03/05/2020,Jawa Barat,1,0,0,1,3,1,8,-6,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.02,0.07,0,0.02,0.3333,2.6667,1,1
03/05/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/06/2020,Banten,1,0,1,0,1,5,74,-78,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.09,0,0.47,5,74,,
03/06/2020,DKI Jakarta,0,0,0,0,45,21,41,-17,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0,4.15,0,1.94,0.4667,0.9111,1,0
03/06/2020,Indonesia,2,0,0,2,4,0,0,4,,,,98,7230,8488,74953,1916907,265185520,138.34,0.01,0.02,0,0,0,0,,1
03/06/2020,Jawa Barat,1,0,0,1,4,1,8,-5,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.02,0.09,0,0.02,0.25,2,1,1
03/06/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/07/2020,Banten,0,0,0,0,1,5,74,-78,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.09,0,0.47,5,74,0,1
03/07/2020,DKI Jakarta,0,2,0,-2,45,23,41,-19,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0,4.15,0.18,2.12,0.5111,0.9111,1,
03/07/2020,Indonesia,0,0,0,0,4,0,0,4,,,,98,7230,8488,74953,1916907,265185520,138.34,0,0.02,0,0,0,0,0,1
03/07/2020,Jawa Barat,0,0,0,0,4,1,8,-5,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.09,0,0.02,0.25,2,0,1
03/07/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/08/2020,Banten,1,0,3,-2,2,5,77,-80,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.19,0,0.47,2.5,38.5,,1
03/08/2020,DKI Jakarta,0,0,0,0,45,23,41,-19,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0,4.15,0,2.12,0.5111,0.9111,1,0
03/08/2020,Indonesia,2,0,0,2,6,0,0,6,,,,98,7230,8488,74953,1916907,265185520,138.34,0.01,0.02,0,0,0,0,,1
03/08/2020,Jawa Barat,0,0,0,0,4,1,8,-5,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.09,0,0.02,0.25,2,1,1
03/08/2020,Jawa Tengah,1,1,0,0,1,8,8,-15,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.03,0.03,0.03,0.22,8,8,,
03/08/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
