,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Growth Factor of New Cases,Increasing
21168,2020-04-10,Gorontalo,1,0,0,1,2,0,4,-2,11257,1180651,104.88,0.0,0
21169,2020-04-11,Gorontalo,0,0,0,0,2,0,4,-2,11257,1180651,104.88,0.0,0
21170,2020-04-12,Gorontalo,0,0,0,0,2,0,4,-2,11257,1180651,104.88,0.0,0
21171,2020-04-13,Gorontalo,0,0,0,0,2,0,4,-2,11257,1180651,104.88,0.0,0
21172,2020-04-14,Gorontalo,0,0,0,0,2,0,4,-2,11257,1180651,104.88,0.0,0
21173,2020-04-15,Gorontalo,0,0,0,0,2,0,4,-2,11257,1180651,104.88,0.0,0
21174,2020-04-16,Gorontalo,3,0,0,3,5,0,4,1,11257,1180651,104.88,0.0,0
21175,2020-04-17,Gorontalo,0,0,0,0,5,0,4,1,11257,1180651,104.88,0.0,0
21176,2020-04-18,Gorontalo,0,0,0,0,5,0,4,1,11257,1180651,104.88,0.0,0
21177,2020-04-19,Gorontalo,0,0,0,0,5,0,4,1,11257,1180651,104.88,0.0,0
21178,2020-04-20,Gorontalo,0,0,0,0,5,0,4,1,11257,1180651,104.88,0.0,0
21179,2020-04-21,Gorontalo,3,1,0,2,8,1,4,3,11257,1180651,104.88,0.0,0
21180,2020-04-22,Gorontalo,0,0,0,0,8,1,4,3,11257,1180651,104.88,0.0,0
21181,2020-04-23,Gorontalo,0,0,0,0,8,1,4,3,11257,1180651,104.88,0.0,0
21182,2020-04-24,Gorontalo,5,0,0,5,13,1,4,8,11257,1180651,104.88,0.0,0
21183,2020-04-25,Gorontalo,2,0,0,2,15,1,4,10,11257,1180651,104.88,0.4,0
21184,2020-04-26,Gorontalo,0,0,0,0,15,1,4,10,11257,1180651,104.88,0.0,0
21185,2020-04-27,Gorontalo,0,0,0,0,15,1,4,10,11257,1180651,104.88,0.0,0
21186,2020-04-28,Gorontalo,1,0,2,-1,16,1,6,9,11257,1180651,104.88,0.0,0
21187,2020-04-29,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21188,2020-04-30,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21189,2020-05-01,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21190,2020-05-02,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21191,2020-05-03,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21192,2020-05-04,Gorontalo,0,0,0,0,16,1,6,9,11257,1180651,104.88,0.0,0
21193,2020-05-05,Gorontalo,0,0,4,-4,16,1,10,5,11257,1180651,104.88,0.0,0
21194,2020-05-06,Gorontalo,0,0,1,-1,16,1,11,4,11257,1180651,104.88,0.0,0
21195,2020-05-07,Gorontalo,4,0,0,4,20,1,11,8,11257,1180651,104.88,0.0,0
21196,2020-05-08,Gorontalo,0,0,3,-3,20,1,14,5,11257,1180651,104.88,0.0,0
21197,2020-05-09,Gorontalo,0,0,0,0,20,1,14,5,11257,1180651,104.88,0.0,0
21198,2020-05-10,Gorontalo,0,0,1,-1,20,1,15,4,11257,1180651,104.88,0.0,0
21199,2020-05-11,Gorontalo,0,0,0,0,20,1,15,4,11257,1180651,104.88,0.0,0
21200,2020-05-12,Gorontalo,0,0,0,0,20,1,15,4,11257,1180651,104.88,0.0,0
21201,2020-05-13,Gorontalo,0,0,1,-1,20,1,16,3,11257,1180651,104.88,0.0,0
21202,2020-05-14,Gorontalo,2,0,1,1,22,1,17,4,11257,1180651,104.88,0.0,0
21203,2020-05-15,Gorontalo,1,0,1,0,23,1,18,4,11257,1180651,104.88,0.5,0
21204,2020-05-16,Gorontalo,1,1,0,0,24,2,18,4,11257,1180651,104.88,1.0,1
