,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference
0,2020-03-02,Indonesia,2,0,0,2,2,0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-03,Indonesia,0,0,0,0,2,0,0,2,0,2.0,-2.0,0.0,0.0,0.0,0.0
2,2020-03-04,Indonesia,0,0,0,0,2,0,0,2,0,1.6,-1.6,0.0,0.0,0.0,0.0
3,2020-03-05,Indonesia,0,0,0,0,2,0,0,2,0,1.2800000000000002,-1.2800000000000002,0.0,0.0,0.0,0.0
4,2020-03-06,Indonesia,2,0,0,2,4,0,0,4,0,1.0240000000000002,0.9759999999999998,0.0,0.0,0.0,0.0
5,2020-03-07,Indonesia,0,0,0,0,4,0,0,4,0,1.2192000000000003,-1.2192000000000003,0.0,0.0,0.0,0.0
6,2020-03-08,Indonesia,2,0,0,2,6,0,0,6,0,0.9753600000000002,1.0246399999999998,0.0,0.0,0.0,0.0
7,2020-03-09,Indonesia,13,0,0,13,19,0,0,19,1,1.1802880000000002,11.819711999999999,0.0,0.0,0.0,0.0
8,2020-03-10,Indonesia,8,0,2,6,27,0,2,25,0,3.5442304000000004,4.4557696,0.0,0.0,0.0,2.0
9,2020-03-11,Indonesia,7,1,0,6,34,1,2,31,0,4.435384320000001,2.5646156799999993,0.0,1.0,0.4,-0.4
10,2020-03-12,Indonesia,0,0,0,0,34,1,2,31,0,4.948307456000001,-4.948307456000001,0.2,-0.2,0.32000000000000006,-0.32000000000000006
11,2020-03-13,Indonesia,35,3,0,32,69,4,2,63,0,3.958645964800001,31.041354035199998,0.16000000000000003,2.84,0.25600000000000006,-0.25600000000000006
12,2020-03-14,Indonesia,27,1,6,20,96,5,8,83,0,10.16691677184,16.83308322816,0.7280000000000001,0.2719999999999999,0.20480000000000007,5.7952
13,2020-03-15,Indonesia,21,0,0,21,117,5,8,104,0,13.533533417472,7.466466582528,0.7824000000000002,-0.7824000000000002,1.3638400000000002,-1.3638400000000002
14,2020-03-16,Indonesia,17,0,0,17,134,5,8,121,0,15.0268267339776,1.9731732660223997,0.6259200000000003,-0.6259200000000003,1.0910720000000003,-1.0910720000000003
