,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference,New Cases Upper,New Cases Lower,New Deaths Upper,New Deaths Lower,New Recovered Upper,New Recovered Lower
0,2020-03-02,Indonesia,2.0,0.0,0.0,2,2,0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,13002.0,-12998.0,380.0,-380.0,9300.0,-9300.0
1,2020-03-03,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0,2.0,-2.0,0.0,0.0,0.0,0.0,13002.0,-12998.0,380.0,-380.0,9300.0,-9300.0
2,2020-03-04,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0,1.6,-1.6,0.0,0.0,0.0,0.0,13001.6,-12998.4,380.0,-380.0,9300.0,-9300.0
3,2020-03-05,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0,1.2800000000000002,-1.2800000000000002,0.0,0.0,0.0,0.0,13001.28,-12998.72,380.0,-380.0,9300.0,-9300.0
4,2020-03-06,Indonesia,2.0,0.0,0.0,2,4,0,0,4,0,1.0240000000000002,0.9759999999999998,0.0,0.0,0.0,0.0,13001.024,-12998.976,380.0,-380.0,9300.0,-9300.0
5,2020-03-07,Indonesia,0.0,0.0,0.0,0,4,0,0,4,0,1.2192000000000003,-1.2192000000000003,0.0,0.0,0.0,0.0,13001.2192,-12998.7808,380.0,-380.0,9300.0,-9300.0
6,2020-03-08,Indonesia,2.0,0.0,0.0,2,6,0,0,6,0,0.9753600000000002,1.0246399999999998,0.0,0.0,0.0,0.0,13000.97536,-12999.02464,380.0,-380.0,9300.0,-9300.0
7,2020-03-09,Indonesia,13.0,0.0,0.0,13,19,0,0,19,1,1.1802880000000002,11.819711999999999,0.0,0.0,0.0,0.0,13001.180288,-12998.819712,380.0,-380.0,9300.0,-9300.0
8,2020-03-10,Indonesia,8.0,0.0,2.0,6,27,0,2,25,0,3.5442304000000004,4.4557696,0.0,0.0,0.0,2.0,13003.5442304,-12996.4557696,380.0,-380.0,9300.0,-9300.0
9,2020-03-11,Indonesia,7.0,1.0,0.0,6,34,1,2,31,0,4.435384320000001,2.5646156799999993,0.0,1.0,0.4,-0.4,13004.43538432,-12995.56461568,380.0,-380.0,9300.4,-9299.6
10,2020-03-12,Indonesia,0.0,0.0,0.0,0,34,1,2,31,0,4.948307456000001,-4.948307456000001,0.2,-0.2,0.32000000000000006,-0.32000000000000006,13004.948307456,-12995.051692544,380.2,-379.8,9300.32,-9299.68
11,2020-03-13,Indonesia,35.0,3.0,0.0,32,69,4,2,63,0,3.958645964800001,31.041354035199998,0.16000000000000003,2.84,0.25600000000000006,-0.25600000000000006,13003.9586459648,-12996.0413540352,380.16,-379.84,9300.256,-9299.744
12,2020-03-14,Indonesia,27.0,1.0,6.0,20,96,5,8,83,0,10.16691677184,16.83308322816,0.7280000000000001,0.2719999999999999,0.20480000000000007,5.7952,13010.16691677184,-12989.83308322816,380.728,-379.272,9300.2048,-9299.7952
13,2020-03-15,Indonesia,21.0,0.0,0.0,21,117,5,8,104,0,13.533533417472,7.466466582528,0.7824000000000002,-0.7824000000000002,1.3638400000000002,-1.3638400000000002,13013.533533417472,-12986.466466582528,380.7824,-379.2176,9301.36384,-9298.63616
14,2020-03-16,Indonesia,17.0,0.0,0.0,17,134,5,8,121,0,15.0268267339776,1.9731732660223997,0.6259200000000003,-0.6259200000000003,1.0910720000000003,-1.0910720000000003,13015.026826733978,-12984.973173266022,380.62592,-379.37408,9301.091072,-9298.908928
15,2020-03-17,Indonesia,38.0,0.0,1.0,37,172,5,9,158,1,15.421461387182081,22.57853861281792,0.5007360000000002,-0.5007360000000002,0.8728576000000002,0.12714239999999977,13015.421461387183,-12984.578538612817,380.500736,-379.499264,9300.8728576,-9299.1271424
16,2020-03-18,Indonesia,55.0,14.0,2.0,39,227,19,11,197,1,19.937169109745668,35.06283089025433,0.4005888000000002,13.5994112,0.8982860800000003,1.1017139199999997,13019.937169109746,-12980.062830890254,380.4005888,-379.5994112,9300.89828608,-9299.10171392
17,2020-03-19,Indonesia,82.0,6.0,4.0,72,309,25,15,269,1,26.949735287796535,55.050264712203465,3.1204710400000004,2.8795289599999996,1.1186288640000002,2.881371136,13026.949735287797,-12973.050264712203,383.12047104,-376.87952896,9301.118628864,-9298.881371136
18,2020-03-20,Indonesia,60.0,7.0,2.0,51,369,32,17,320,0,37.95978823023724,22.040211769762763,3.696376832000001,3.303623167999999,1.6949030912000003,0.30509690879999973,13037.959788230237,-12962.040211769763,383.696376832,-376.303623168,9301.6949030912,-9298.3050969088
19,2020-03-21,Indonesia,81.0,6.0,3.0,72,450,38,20,392,1,42.36783058418979,38.63216941581021,4.357101465600001,1.6428985343999987,1.7559224729600005,1.2440775270399995,13042.36783058419,-12957.63216941581,384.3571014656,-375.6428985344,9301.75592247296,-9298.24407752704
20,2020-03-22,Indonesia,64.0,10.0,9.0,45,514,48,29,437,0,50.094264467351834,13.905735532648166,4.685681172480002,5.314318827519998,2.0047379783680004,6.995262021632,13050.094264467352,-12949.905735532648,384.68568117248,-375.31431882752,9302.004737978368,-9297.995262021632
21,2020-03-23,Indonesia,65.0,1.0,1.0,63,579,49,30,500,1,52.875411573881465,12.124588426118535,5.7485449379840015,-4.7485449379840015,3.4037903826944005,-2.4037903826944005,13052.875411573881,-12947.124588426119,385.748544937984,-374.251455062016,9303.403790382694,-9296.596209617306
22,2020-03-24,Indonesia,106.0,6.0,0.0,100,685,55,30,600,1,55.300329259105176,50.699670740894824,4.798835950387201,1.2011640496127987,2.9230323061555206,-2.9230323061555206,13055.300329259106,-12944.699670740894,384.79883595038723,-375.20116404961277,9302.923032306155,-9297.076967693845
23,2020-03-25,Indonesia,105.0,3.0,1.0,101,790,58,31,701,0,65.44026340728415,39.55973659271585,5.039068760309761,-2.0390687603097613,2.3384258449244166,-1.3384258449244166,13065.440263407285,-12934.559736592715,385.03906876030976,-374.96093123969024,9302.338425844924,-9297.661574155076
24,2020-03-26,Indonesia,103.0,20.0,4.0,79,893,78,35,780,0,73.35221072582732,29.64778927417268,4.631255008247809,15.368744991752191,2.0707406759395335,1.9292593240604665,13073.352210725827,-12926.647789274173,384.6312550082478,-375.3687449917522,9302.07074067594,-9297.92925932406
