,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing
0,2020-03-02,Indonesia,2.0,0.0,0.0,2,2,0,0,2,0
1,2020-03-03,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0
2,2020-03-04,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0
3,2020-03-05,Indonesia,0.0,0.0,0.0,0,2,0,0,2,0
4,2020-03-06,Indonesia,2.0,0.0,0.0,2,4,0,0,4,0
5,2020-03-07,Indonesia,0.0,0.0,0.0,0,4,0,0,4,0
6,2020-03-08,Indonesia,2.0,0.0,0.0,2,6,0,0,6,0
7,2020-03-09,Indonesia,13.0,0.0,0.0,13,19,0,0,19,1
8,2020-03-10,Indonesia,8.0,0.0,2.0,6,27,0,2,25,0
9,2020-03-11,Indonesia,7.0,1.0,0.0,6,34,1,2,31,0
10,2020-03-12,Indonesia,0.0,0.0,0.0,0,34,1,2,31,0
11,2020-03-13,Indonesia,35.0,3.0,0.0,32,69,4,2,63,0
12,2020-03-14,Indonesia,27.0,1.0,6.0,20,96,5,8,83,0
13,2020-03-15,Indonesia,21.0,0.0,0.0,21,117,5,8,104,0
14,2020-03-16,Indonesia,17.0,0.0,0.0,17,134,5,8,121,0
15,2020-03-17,Indonesia,38.0,0.0,1.0,37,172,5,9,158,1
16,2020-03-18,Indonesia,55.0,14.0,2.0,39,227,19,11,197,1
17,2020-03-19,Indonesia,82.0,6.0,4.0,72,309,25,15,269,1
18,2020-03-20,Indonesia,60.0,7.0,2.0,51,369,32,17,320,0
19,2020-03-21,Indonesia,81.0,6.0,3.0,72,450,38,20,392,1
20,2020-03-22,Indonesia,64.0,10.0,9.0,45,514,48,29,437,0
21,2020-03-23,Indonesia,65.0,1.0,1.0,63,579,49,30,500,1
22,2020-03-24,Indonesia,106.0,6.0,0.0,100,685,55,30,600,1
23,2020-03-25,Indonesia,105.0,3.0,1.0,101,790,58,31,701,0
24,2020-03-26,Indonesia,103.0,20.0,4.0,79,893,78,35,780,0
25,2020-03-27,Indonesia,153.0,9.0,11.0,133,1046,87,46,913,1
26,2020-03-28,Indonesia,109.0,15.0,13.0,81,1155,102,59,994,0
27,2020-03-29,Indonesia,130.0,12.0,5.0,113,1285,114,64,1107,1
28,2020-03-30,Indonesia,129.0,8.0,11.0,110,1414,122,75,1217,0
29,2020-03-31,Indonesia,114.0,14.0,6.0,94,1528,136,81,1311,0
30,2020-04-01,Indonesia,149.0,21.0,22.0,106,1677,157,103,1417,1
31,2020-04-02,Indonesia,113.0,13.0,9.0,91,1790,170,112,1508,0
32,2020-04-03,Indonesia,196.0,11.0,22.0,163,1986,181,134,1671,1
33,2020-04-04,Indonesia,106.0,10.0,16.0,80,2092,191,150,1751,0
34,2020-04-05,Indonesia,181.0,7.0,14.0,160,2273,198,164,1911,1
35,2020-04-06,Indonesia,218.0,11.0,28.0,179,2491,209,192,2090,1
36,2020-04-07,Indonesia,247.0,12.0,12.0,223,2738,221,204,2313,1
37,2020-04-08,Indonesia,218.0,19.0,18.0,181,2956,240,222,2494,0
38,2020-04-09,Indonesia,337.0,40.0,30.0,267,3293,280,252,2761,1
39,2020-04-10,Indonesia,219.0,26.0,30.0,163,3512,306,282,2924,0
40,2020-04-11,Indonesia,330.0,21.0,4.0,305,3842,327,286,3229,1
41,2020-04-12,Indonesia,399.0,46.0,73.0,280,4241,373,359,3509,1
42,2020-04-13,Indonesia,316.0,26.0,21.0,269,4557,399,380,3778,0
43,2020-04-14,Indonesia,282.0,60.0,46.0,176,4839,459,426,3954,0
44,2020-04-15,Indonesia,297.0,10.0,20.0,267,5136,469,446,4221,1
45,2020-04-16,Indonesia,380.0,27.0,102.0,251,5516,496,548,4472,1
46,2020-04-17,Indonesia,407.0,24.0,59.0,324,5923,520,607,4796,1
47,2020-04-18,Indonesia,325.0,15.0,24.0,286,6248,535,631,5082,0
48,2020-04-19,Indonesia,327.0,47.0,55.0,225,6575,582,686,5307,1
49,2020-04-20,Indonesia,185.0,8.0,61.0,116,6760,590,747,5423,0
50,2020-04-21,Indonesia,375.0,26.0,95.0,254,7135,616,842,5677,1
51,2020-04-22,Indonesia,283.0,19.0,71.0,193,7418,635,913,5870,0
52,2020-04-23,Indonesia,357.0,12.0,47.0,298,7775,647,960,6168,1
53,2020-04-24,Indonesia,436.0,42.0,42.0,352,8211,689,1002,6520,1
54,2020-04-25,Indonesia,396.0,31.0,40.0,325,8607,720,1042,6845,0
55,2020-04-26,Indonesia,275.0,23.0,65.0,187,8882,743,1107,7032,0
56,2020-04-27,Indonesia,214.0,22.0,44.0,148,9096,765,1151,7180,0
57,2020-04-28,Indonesia,415.0,8.0,103.0,304,9511,773,1254,7484,1
58,2020-04-29,Indonesia,260.0,11.0,137.0,112,9771,784,1391,7596,0
59,2020-04-30,Indonesia,347.0,8.0,131.0,208,10118,792,1522,7804,1
60,2020-05-01,Indonesia,433.0,8.0,69.0,356,10551,800,1591,8160,1
61,2020-05-02,Indonesia,292.0,31.0,74.0,187,10843,831,1665,8347,0
62,2020-05-03,Indonesia,349.0,14.0,211.0,124,11192,845,1876,8471,1
63,2020-05-04,Indonesia,395.0,19.0,78.0,298,11587,864,1954,8769,1
64,2020-05-05,Indonesia,484.0,8.0,243.0,233,12071,872,2197,9002,1
65,2020-05-06,Indonesia,367.0,23.0,120.0,224,12438,895,2317,9226,0
66,2020-05-07,Indonesia,338.0,35.0,64.0,239,12776,930,2381,9465,0
67,2020-05-08,Indonesia,336.0,13.0,113.0,210,13112,943,2494,9675,0
68,2020-05-09,Indonesia,533.0,16.0,113.0,404,13645,959,2607,10079,1
69,2020-05-10,Indonesia,387.0,14.0,91.0,282,14032,973,2698,10361,0
70,2020-05-11,Indonesia,233.0,18.0,183.0,32,14265,991,2881,10393,0
71,2020-05-12,Indonesia,484.0,16.0,182.0,286,14749,1007,3063,10679,1
72,2020-05-13,Indonesia,689.0,21.0,224.0,444,15438,1028,3287,11123,1
73,2020-05-14,Indonesia,568.0,15.0,231.0,322,16006,1043,3518,11445,0
74,2020-05-15,Indonesia,490.0,33.0,285.0,172,16496,1076,3803,11617,0
75,2020-05-16,Indonesia,529.0,13.0,108.0,408,17025,1089,3911,12025,1
76,2020-05-17,Indonesia,489.0,59.0,218.0,212,17514,1148,4129,12237,0
77,2020-05-18,Indonesia,496.0,43.0,195.0,258,18010,1191,4324,12495,1
78,2020-05-19,Indonesia,486.0,30.0,143.0,313,18496,1221,4467,12808,0
79,2020-05-20,Indonesia,693.0,21.0,108.0,564,19189,1242,4575,13372,1
80,2020-05-21,Indonesia,973.0,36.0,263.0,674,20162,1278,4838,14046,1
81,2020-05-22,Indonesia,634.0,48.0,219.0,367,20796,1326,5057,14413,0
82,2020-05-23,Indonesia,949.0,25.0,192.0,732,21745,1351,5249,15145,1
83,2020-05-24,Indonesia,526.0,21.0,153.0,352,22271,1372,5402,15497,0
84,2020-05-25,Indonesia,479.0,19.0,240.0,220,22750,1391,5642,15717,0
85,2020-05-26,Indonesia,415.0,27.0,235.0,153,23165,1418,5877,15870,0
86,2020-05-27,Indonesia,686.0,55.0,180.0,451,23851,1473,6057,16321,1
87,2020-05-28,Indonesia,687.0,23.0,183.0,481,24538,1496,6240,16802,1
88,2020-05-29,Indonesia,678.0,24.0,252.0,402,25216,1520,6492,17204,0
89,2020-05-30,Indonesia,557.0,53.0,523.0,-19,25773,1573,7015,17185,0
90,2020-05-31,Indonesia,700.0,40.0,293.0,367,26473,1613,7308,17552,1
91,2020-06-01,Indonesia,467.0,28.0,329.0,110,26940,1641,7637,17662,0
92,2020-06-02,Indonesia,609.0,22.0,298.0,289,27549,1663,7935,17951,1
93,2020-06-03,Indonesia,684.0,35.0,471.0,178,28233,1698,8406,18129,1
94,2020-06-04,Indonesia,585.0,23.0,486.0,76,28818,1721,8892,18205,0
95,2020-06-05,Indonesia,703.0,49.0,551.0,103,29521,1770,9443,18308,1
96,2020-06-06,Indonesia,993.0,31.0,464.0,498,30514,1801,9907,18806,1
97,2020-06-07,Indonesia,672.0,50.0,591.0,31,31186,1851,10498,18837,0
98,2020-06-08,Indonesia,847.0,32.0,406.0,409,32033,1883,10904,19246,1
99,2020-06-09,Indonesia,1042.0,40.0,510.0,492,33075,1923,11414,19738,1
100,2020-06-10,Indonesia,1241.0,36.0,715.0,490,34316,1959,12129,20228,1
101,2020-06-11,Indonesia,979.0,41.0,507.0,431,35295,2000,12636,20659,0
